City_ID,city,max_temp,weather,lat,lon,Hotel Name
1577,san quintin,77.77,overcast clouds,30.4833,-115.95,
1578,kawalu,73.27,overcast clouds,-7.3817,108.2082,
1581,san ignacio,86.14,broken clouds,17.1561,-89.0714,
1582,samalkha,81.84,broken clouds,29.2333,77.0167,
1585,nicoya,83.75,broken clouds,10.1483,-85.452,
1587,dori,86.67,clear sky,14.0354,-0.0345,
1589,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1590,saint-philippe,71.19,light rain,-21.3585,55.7679,
1593,souillac,72.36,scattered clouds,-20.5167,57.5167,
1594,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1595,naze,79.72,clear sky,28.3667,129.4833,
1598,gatton,85.39,clear sky,-27.55,152.2833,
1604,butaritari,82.42,overcast clouds,3.0707,172.7902,
1606,salinas,97.56,clear sky,36.6777,-121.6555,
1611,kavieng,83.88,overcast clouds,-2.5744,150.7967,
1613,airai,74.59,clear sky,-8.9266,125.4092,
1616,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1617,bubaque,82.22,overcast clouds,11.2833,-15.8333,
1624,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1629,dingle,74.8,light rain,10.9995,122.6711,
1630,vila franca do campo,73.2,overcast clouds,37.7167,-25.4333,
1631,avarua,78.85,broken clouds,-21.2078,-159.775,
1634,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1636,hilo,83.93,few clouds,19.7297,-155.09,
1638,redlands,95.45,broken clouds,34.0556,-117.1825,
1639,kapaa,78.19,light rain,22.0752,-159.319,
1641,puerto del rosario,73.15,scattered clouds,28.5004,-13.8627,
1649,uarini,80.38,overcast clouds,-2.99,-65.1083,
1651,avarua,78.85,broken clouds,-21.2078,-159.775,
1658,avarua,78.85,broken clouds,-21.2078,-159.775,
1659,puerto ayora,75.16,scattered clouds,-0.7393,-90.3518,
1660,bolobo,73.17,light rain,-2.1667,16.2333,
1668,arraial do cabo,71.47,moderate rain,-22.9661,-42.0278,
1670,rantauprapat,72.99,overcast clouds,2.1,99.8333,
1675,hithadhoo,83.16,broken clouds,-0.6,73.0833,
1677,hamilton,70.75,overcast clouds,39.1834,-84.5333,
1678,atuona,77.7,light rain,-9.8,-139.0333,
1684,saint-philippe,71.19,light rain,-21.3585,55.7679,
1685,san quintin,77.77,overcast clouds,30.4833,-115.95,
1691,bimbo,78.73,thunderstorm,4.2567,18.4158,
1692,karratha,74.89,clear sky,-20.7377,116.8463,
